Trade #,Type,Date/Time,Signal,Price USDT,Position size (qty),Position size (value),Net P&L USDT,Net P&L %,Run-up USDT,Run-up %,Drawdown USDT,Drawdown %,Cumulative P&L USDT,Cumulative P&L %
107,Exit long,2024-12-26 16:00,Stop Loss (HYBRID),95213,2.424926,238293.8406,-7643.95,-3.21,3997.17,1.68,-7528.51,-3.16,225769.56,4515.39
107,Entry long,2024-12-25 00:00,Breakout,98268.5,2.424926,238293.8406,-7643.95,-3.21,3997.17,1.68,-7528.51,-3.16,225769.56,4515.39
108,Exit long,2025-01-03 16:00,TP EMA-Mid (160),96297.6,2.461283,230654.706,6127.1,2.66,10011.13,4.34,-5544.92,-2.40,231896.67,4637.93
108,Entry long,2024-12-30 08:00,Sweep,93713.2,2.461283,230654.706,6127.1,2.66,10011.13,4.34,-5544.92,-2.40,231896.67,4637.93
109,Exit long,2025-01-10 04:00,Stop Loss (HYBRID),91306.6,2.513116,236773.2239,-7542.26,-3.18,1012.01,0.43,-7427.53,-3.14,224354.4,4487.09
109,Entry long,2025-01-10 00:00,Sweep,94215,2.513116,236773.2239,-7542.26,-3.18,1012.01,0.43,-7427.53,-3.14,224354.4,4487.09
110,Exit long,2025-01-27 16:00,TP EMA-Mid (160),99002.9,2.488893,229239.7387,16930.06,7.38,44306.4,19.32,-2321.27,-1.01,241284.47,4825.69
110,Entry long,2025-01-14 00:00,Sweep,92105.1,2.488893,229239.7387,16930.06,7.38,44306.4,19.32,-2321.27,-1.01,241284.47,4825.69
111,Exit long,2025-02-03 00:00,Stop Loss (HYBRID),97277.6,2.446815,246160.8443,-8382.64,-3.40,1910.96,0.78,-8263.63,-3.36,232901.81,4658.04
111,Entry long,2025-02-02 08:00,Sweep,100604.6,2.446815,246160.8443,-8382.64,-3.40,1910.96,0.78,-8263.63,-3.36,232901.81,4658.04
112,Exit long,2025-02-14 20:00,Hedge (BE),96871.6,2.465615,237781.445,828.31,0.35,4881.62,2.05,-6083.95,-2.56,233730.12,4674.60
112,Entry long,2025-02-10 08:00,Sweep,96439,2.465615,237781.445,828.31,0.35,4881.62,2.05,-6083.95,-2.56,233730.12,4674.60
113,Exit long,2025-02-22 00:00,Stop Loss (HYBRID),95490.9,2.425306,238610.8204,-7251.27,-3.04,2452,1.03,-7135.47,-2.99,226478.86,4529.58
113,Entry long,2025-02-21 04:00,Breakout,98383.8,2.425306,238610.8204,-7251.27,-3.04,2452,1.03,-7135.47,-2.99,226478.86,4529.58
114,Exit long,2025-02-25 20:00,Stop Loss (HYBRID),86272.5,2.593243,231366.5472,-7868.54,-3.40,672.4,0.29,-7756.67,-3.35,218610.33,4372.21
114,Entry long,2025-02-25 20:00,Sweep,89219,2.593243,231366.5472,-7868.54,-3.40,672.4,0.29,-7756.67,-3.35,218610.33,4372.21
115,Exit long,2025-03-03 16:00,Hedge (BE),91696.6,2.556861,223503.402,10723.08,4.80,19211.22,8.59,-440.05,-0.20,229333.4,4586.67
115,Entry long,2025-03-03 00:00,Breakout,87413.2,2.556861,223503.402,10723.08,4.80,19211.22,8.59,-440.05,-0.20,229333.4,4586.67
